Description,Category,Local,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost
Crushed Tomatos,grocery,no,no,,no,,na,,no,,44.46
Flour,grocery,no,no,,no,,na,,no,,15.2
Pickle Chips,grocery,no,no,,no,,na,,no,,30.77
"Chai Tea, Coffee",teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,250.38
Pasta,grocery,no,no,,no,,na,,no,,59.04
Juice,beverages,no,no,,no,,na,,no,,76.54
Shredded Coconut,grocery,no,no,,no,,na,,no,,23.16
Cooking Spray,grocery,no,no,,no,,na,,no,,16.97
Granulated Sugar,grocery,no,no,,no,,na,,no,,30.59
Oats,grocery,no,no,,no,,na,,no,,35.7
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,24.44
Tortillas,grocery,no,no,,no,,na,,no,,91.69
Chipotle Pepper,grocery,no,no,,no,,na,,no,,18.87
Olive Oil,grocery,no,no,,no,,na,,no,,104.62
Spice,grocery,no,no,,no,,na,,no,,22.3
Spices,grocery,no,no,,no,,na,,no,,254.61
Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,90.4
Oil,grocery,no,no,,no,,na,,no,,213.6
Cake Mix,grocery,no,no,,no,,na,,no,,61.59
Condensed Milk,dairy,no,no,,no,,na,,no,,47.96
Udon Noodles,grocery,no,no,,no,,na,,no,,31.83
"Cereal, Candy, PB, Jelly, Sugar, Ketchup, Dried Fruit",grocery,no,no,,no,,na,,no,,473.77
Sliced Water Chestnuts,grocery,no,no,,no,,na,,no,,29.28
Rice Vinegar,grocery,no,no,,no,,na,,no,,44.16
Sweet Thai Chili Sauce,grocery,no,no,,no,,na,,no,,27.92
"Soda, Juice, Sports Drinks",beverages,no,no,,no,,na,,no,,1594
Almonds,grocery,no,no,,no,,na,,no,,65.94
Black Beans,grocery,no,no,,no,,na,,no,,33.64
Cooking Wine,grocery,no,no,,no,,na,,no,,27.66
Couscous/Quinoa,grocery,no,no,,no,,na,,no,,79.21
Rice,grocery,no,no,,no,,na,,no,,35.1
Light Brown Cane Sugar,grocery,no,no,,no,,na,,no,,24.75
Corn Polenta,grocery,no,no,,no,,na,,no,,68.01
Salt,grocery,no,no,,no,,na,,no,,17.75
Apple Pie Filling,grocery,no,no,,no,,na,,no,,54.38
Soy and Dairy Milk,dairy,no,no,,yes,USDA Certified Organic,no,,no,,109.56
Baking Powder,grocery,no,no,,no,,na,,no,,9.64
Rice,grocery,no,no,,no,,na,,no,,38.16
Cheese,dairy,no,no,,no,,na,,no,,601.36
Cheese,dairy,no,no,,no,,na,,no,,49.47
Cheese,dairy,no,no,,no,,na,,no,,53.61
Cheese,dairy,no,no,,no,,na,,no,,48.67
Cheese,dairy,no,no,,no,,na,,no,,38.28
Cheese,dairy,no,no,,no,,na,,no,,77.22
"Milk, Cottage Cheese, Ice Cream Mix, Butter, Yogurt, Sour Cream",dairy,no,no,,no,,na,,no,,4068.05
Cheese,dairy,no,no,,no,,na,,no,,121.95
Cream Cheese,grocery,no,no,,no,,na,,no,,29.06
Cheese,dairy,no,no,,no,,na,,no,,37.67
Assorted Baked Goods,baked,no,no,,no,,na,,no,,617.82
Egg Scramble,grocery,no,no,,no,,na,,no,,336.66
Fruit and Veggies,produce,no,no,,no,,na,,no,,9760.65
Fruit,produce,no,no,,no,,na,,no,,362.02
Veggies,produce,no,no,,no,,na,,no,,760.61
Herbs,grocery,no,no,,no,,na,,no,,5.45
Salad Spring Mix,produce,no,no,,yes,USDA Certified Organic,na,,no,,25.42
Herbs,grocery,yes,no,,no,,na,,no,,22.64
"Salad Mix, Herbs",produce,no,no,,yes,USDA Certified Organic,na,,no,,225.98
Veggies,produce,no,no,,no,,na,,no,,694.82
Fruit,produce,no,no,,no,,na,,no,,93.87
Spring Salad Mix,produce,no,no,,yes,USDA Certified Organic,na,,no,,25.42
Thai Basil,grocery,yes,no,,no,,na,,no,,14.02
Fruit Juice,grocery,no,no,,no,,na,,no,,36.73
Brownies,baked,no,no,,no,,na,,no,,7.2
Philly Cheese Steak,grocery,no,no,,no,,na,,no,,35.85
Spicy Chicken Sandwich,grocery,no,no,,no,,na,,no,,22.53
Blueberry Cup,grocery,no,no,,no,,na,,no,,20.32
Juice,beverages,no,no,,no,,na,,no,,64.28
Snack Food,grocery,no,no,,no,,,,no,,22.61
Crackersq,grocery,no,no,,no,,na,,no,,49.11
Snack Mix,grocery,no,no,,no,,na,,no,,20.7
Energy Bar,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,12.35
Bar,grocery,no,no,,no,,na,,no,,7.27
Goldfish,grocery,no,no,,no,,na,,no,,7.23
"Mustard, Bagels, Cheeseit",grocery,no,no,,no,,na,,no,,38.08
Peanuts,grocery,no,no,,no,,na,,no,,16.32
Poptars,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,31.1
Chips,grocery,no,no,,no,,na,,no,,13.12
"Brownie, Sandwiches, Cookies",grocery,no,no,,no,,na,,no,,168.41
Popcorn,grocery,no,no,,no,,na,,no,,8.96
Milk Chocolate Pretzels,grocery,no,no,,no,,na,,no,,13.76
Baked Goods,baked,no,no,,no,,na,,no,,80.53
Snacks,grocery,no,no,,no,,na,,no,,23.22
Almonds,grocery,no,no,,no,,na,,no,,22.48
Ritz Crackers,grocery,no,no,,no,,na,,no,,18.9
Chocolate Covered Fruit,grocery,no,no,,no,,na,,no,,74.46
Juice,beverages,no,no,,no,,na,,no,,52.06
Milk,beverages,no,no,,no,,na,,no,,23.76
Gum,grocery,no,no,,no,,na,,no,,27.96
Energy Bar,grocery,no,no,,no,,na,,no,,17.18
Candy,grocery,no,no,,no,,na,,no,,55.71
Beef Ravioli,grocery,no,no,,no,,na,,no,,19.8
Tuna Salad,grocery,no,no,,no,,na,,no,,15.96
Soup,grocery,no,no,,no,,na,,no,,24.16
Soup,grocery,no,no,,no,,na,,no,,5.4
Cake Mix,grocery,no,no,,no,,na,,no,,8.64
Soup,grocery,no,no,,no,,na,,no,,26.52
Corn,grocery,no,no,,no,,na,,no,,5.76
easy mac,grocery,no,no,,no,,na,,no,,12
Lime Juice,grocery,no,no,,no,,na,,no,,9.6
Refried Beans,grocery,no,no,,no,,na,,no,,8.76
Jam,grocery,no,no,,no,,na,,no,,25.8
Cheese,dairy,no,no,,no,,na,,no,,40.98
Ice Cream,dairy,no,yes,,yes,Fair Trade Certified,na,,no,,166.75
Cheese,dairy,no,no,,no,,na,,no,,8.09
Milkshakes,grocery,no,no,,no,,na,,no,,66.56
Cheese,dairy,no,no,,no,,na,,no,,122.86
Weiners,meat,no,no,,no,,na,,no,,12.32
Cheese,dairy,no,no,,no,,na,,no,,31.47
Baked Goods,grocery,no,no,,no,,na,,no,,19.14
Flour,grocery,no,no,,no,,na,,no,,9.36
Hot Dog Buns,grocery,no,no,,no,,na,,no,,2.78
Bread,grocery,no,no,,no,,na,,no,,13.26
Bagels,grocery,no,no,,no,,na,,no,,17.4
Water,beverages,no,no,,no,,na,,no,,40.37
Cough Drops,grocery,no,no,,no,,na,,no,,41.5
Bagel Bites,grocery,no,no,,no,,na,,no,,72.1
Mozz Sticks,grocery,no,no,,no,,na,,no,,73.56
Hot Pockets,grocery,no,no,,no,,na,,no,,17.82
Pizza Rolls,grocery,no,no,,no,,na,,no,,32.26
Jerky,grocery,no,no,,no,,na,,no,,35.91
Energy Drink,beverages,no,no,,no,,na,,no,,68
Drink,beverages,no,no,,no,,na,,no,,87
"Nuts, Granola Bars, Jerky, Brownie Brittle, Snack Mix, Fruit Chips, Tortilla Chips, Popcorn",grocery,no,no,,no,,na,,no,,798.7
Energy Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,40.13
Tea,beverages,no,yes,Fair for Life Certified by IMO,yes,USDA Certified Organic,na,,no,,360
Drinks,beverages,no,no,,no,,na,,no,,90
Tea,beverages,no,no,,no,,na,,no,,34.5
Drinks,beverages,no,no,,no,,na,,no,,131.04
Energy Drinks,beverages,no,no,,yes,USDA Certified Organic,na,,no,,174.5
Soda,beverages,no,no,,no,,na,,no,,110
Drinks,beverages,no,no,,no,,na,,no,,174.5
Juice,beverages,no,no,,no,,na,,no,,108
Drinks,beverages,no,no,,no,,na,,no,,36.5
Drinks,beverages,no,no,,no,,na,,no,,40
Jerky,grocery,no,no,,no,,na,,no,,106.32
Drinks,beverages,no,no,,no,,na,,no,,63
Drinks,beverages,no,no,,no,,na,,no,,190
Tea,beverages,no,no,,no,,na,,no,,310.5
Drinks,beverages,no,no,,no,,na,,no,,45
Airheads,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),11.88
Chocolate Covered Fruit,grocery,no,no,,no,,na,,no,,111.69
Gum,grocery,no,no,,no,,na,,no,,22.44
Candy,grocery,no,no,,no,,na,,no,,435.69
Gum,grocery,no,no,,no,,na,,no,,48.2
Gum,grocery,no,no,,no,,na,,no,,27.48
Popcorn,grocery,no,no,,no,,na,,no,,23.96
Bagel Bites,grocery,no,no,,no,,na,,no,,50.4
Soup,grocery,no,no,,no,,na,,no,,47.8
Cake Mix,grocery,no,no,,no,,na,,no,,8.64
Peaches,grocery,no,no,,no,,na,,no,,11.64
Pizza,grocery,no,no,,no,,na,,no,,38.4
Mustard,grocery,no,no,,no,,na,,no,,5.76
Cereal ,grocery,no,no,,no,,na,,no,,126.72
Flour,grocery,no,no,,no,,na,,no,,5.84
White Vinegar,grocery,no,no,,no,,na,,no,,3.12
Ranch Dressing,grocery,no,no,,no,,na,,no,,24.36
Soup,grocery,no,no,,no,,na,,no,,26.52
Clover Honey,grocery,no,no,,no,,na,,no,,34.44
SnackPack,grocery,no,no,,no,,na,,no,,14.88
Crunchy Peanut Butter,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),36.24
Cereal ,grocery,no,no,,no,,na,,no,,82.56
Easy Mac,grocery,no,no,,no,,na,,no,,19.2
Marshmallows,grocery,no,no,,no,,na,,no,,5.76
Picante Sauce,grocery,no,no,,no,,na,,no,,52.8
Poptarts,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,55.68
Lemon Juice,grocery,no,no,,no,,na,,no,,9.6
Diced Tomatoes and Green Chili,grocery,no,no,,no,,na,,no,,5.2
beef minestrone,grocery,no,no,,no,,na,,no,,5.34
Tuna,fish,no,no,,no,,na,,no,,34.2
Mac & Cheese,grocery,no,no,,no,,na,,no,,52.56
Chicken Soup,grocery,no,no,,no,,na,,no,,5.04
Pizza Rolls,grocery,no,no,,no,,na,,no,,38.16
Yogurt,dairy,no,no,,no,,na,,no,,164.99
Salsa ,grocery,no,no,,no,,na,,no,,35
Glluten Free Pizza Crust,grocery,no,no,,no,,na,,no,,68.48
Bread,baked,no,no,,yes,USDA Certified Organic,na,,no,,38.62
Cereal ,grocery,no,no,,no,,na,,no,,47
Chips,grocery,no,no,,no,,na,,no,,62
Cookie Dough,grocery,no,no,,no,,na,,no,,49.52
Almonds and pecans,grocery,no,no,,no,,na,,no,,67.62
Guyaki,beverages,no,yes,,yes,,na,,no,,140
"Ice Cream, Cheese",dairy,no,no,,no,,no,,no,,327.26
Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,na,,no,,20.53
Beverages,beverages,no,no,,no,,na,,no,,468
Cookie Dough,grocery,no,no,,no,,na,,no,,38.56
Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,36
Ice Cream,dairy,no,yes,Fair Trade Certified by Fair Labeling Organization (F.L.O.),yes,Fair Trade Certified,na,,no,,199.88
Goat Cheese,dairy,no,no,,no,,na,,no,,18.2
Iced Chai,teacoffee,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,35.94
Agave Nector ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,21
Soy Milk Yogurt,grocery,no,no,,no,,na,,no,,12.72
produce,produce,no,no,,yes,,na,,no,,370.89
Nutella ,grocery,no,no,,no,,na,,no,,52
Prepared Meals,grocery,no,no,,yes,USDA Certified Organic,na,,no,,155.29
groceries,grocery,no,no,,no,,na,,no,,125.82
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,91.46
Bar ,grocery,no,no,,no,,na,,no,,14
bread,baked,no,no,,no,,na,,no,,48.84
Chocolate Cake,grocery,no,no,,no,,na,,no,,21.57
Yogurt,dairy,no,no,,no,,no,,no,,134.74
Ice Cream Sandwiches,grocery,no,no,,no,,na,,no,,120.96
meat,meat,no,no,,no,,no,,no,,200.58
Nut Snacks ,grocery,no,no,,no,,na,,no,,21
Cookies,baked,no,no,,no,,na,,no,,53.01
Meats,meat,no,no,,no,,no,,no,,46
cheese,dairy,no,no,,no,,no,,no,,202.11
Drinks,beverages,no,no,,no,,na,,no,,142
Soy Milk,grocery,no,no,,no,,na,,no,,17.41
Edamame ,grocery,no,no,,no,,na,,no,,7
Butter,dairy,no,no,,yes,USDA Certified Organic,no,,no,,57.03
Candy,grocery,no,no,,no,,na,,no,,43.2
Cookie dough,grocery,no,no,,yes,,no,,no,,41.06
Chocolate,grocery,no,yes,Fair for Life Certified by IMO,yes,USDA Certified Organic,na,,no,,96.06
GF cookie dough,grocery,no,no,,no,,no,,no,,21.31
pizza crust,baked,no,no,,no,,na,,no,,34.24
Baked Goods,baked,no,no,,no,,na,,no,,121.37
Pasta,grocery,no,no,,no,,na,,no,,53.04
Bread ,baked,no,no,,no,,na,,no,,40
bread ,baked,no,no,,no,,na,,no,,34
Chocolate Cookies,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,19.24
Snacks,grocery,no,no,,no,,na,,no,,119.05
Water,beverages,no,no,,no,,na,,no,,53.75
Chicken ,meat,no,no,,no,,na,,no,,3619.1
Kombucha and Chia Drinks,beverages,no,no,,yes,USDA Certified Organic,na,,no,,278.69
Tropicana,beverages,no,no,,no,,na,,no,,865.56
Chips,grocery,no,no,,no,,na,,no,,181.65
Swiss Slices ,grocery,no,no,,no,,na,,no,,28
Snapea Crisps,grocery,no,no,,no,,na,,no,,61.76
Energy Blocks,grocery,no,no,,yes,USDA Certified Organic,na,,no,,63.46
Beef,meat,yes,no,,no,,no,,no,,6692.72
Pudding ,grocery,no,no,,no,,na,,no,,47
Yogurt,dairy,no,no,,no,,no,,no,,235.7
Preserves,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,31.42
Yogurt ,dairy,no,no,,no,,no,,no,,196
Chicken Sandwich,grocery,no,no,,no,,na,,no,,18.27
Crisps,grocery,no,no,,yes,USDA Certified Organic,na,,no,,34.8
"salmon, tuna, shrimp",fish,no,no,,yes,,na,,no,,1078.5
Juice,beverages,no,no,,no,,na,,no,,138.7
Chips,grocery,no,no,,no,,na,,no,,61.7
Cheese ,dairy,no,no,,no,,no,,no,,32
Pork ,meat,yes,no,,no,,no,,no,,1350.12
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,81.87
Turkey,poultry,yes,no,,no,,no,,no,,2314.46
Oatmeal,grocery,no,no,,no,,na,,no,,74.52
"Westco, Paters",baked,no,no,,no,,na,,no,,1902.37
Bar ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,44
Jerky,meat,no,no,,no,,no,,no,,35.91
Almond Milk,grocery,no,no,,no,,na,,no,,128
Drinks,beverages,no,no,,yes,Fair Trade Certified,na,,no,,91.2
Candy,grocery,no,no,,no,,na,,no,,12.11
bread,baked,no,no,,no,,na,,no,,1741.03
Guacamole,grocery,no,no,,no,,na,,no,,104.84
Chips,grocery,no,no,,no,,na,,no,,131.85
Fruit Leathers,grocery,no,no,,no,,na,,no,,36.78
produce,produce,yes,no,,yes,,na,,no,,631.3
Tikka Masala,grocery,no,no,,no,,na,,no,,31
Red Bull,beverages,no,no,,no,,na,,yes,,164
Tea,beverages,no,no,,no,,na,,no,,38.36
Amy's Meals,grocery,no,no,,yes,USDA Certified Organic,no,,no,,548.86
Cookies ,baked,no,no,,no,,na,,no,,102
Chocolate,grocery,no,yes,Fair for Life Certified by IMO,yes,USDA Certified Organic,na,,no,,82.26
Water ,beverages,no,no,,no,,na,,no,,14.79
Bar,grocery,no,no,,no,,na,,no,,21.46
"Chicken Wontons, Noodle bowls",grocery,no,no,,no,,no,,no,,91.6
Juice,beverages,no,no,,no,,na,,no,,633.14
Meat,meat,no,no,,no,,na,,no,,690.08
Potstickers,grocery,no,no,,yes,USDA Certified Organic,no,,no,,54.4
Fish,fish,no,no,,no,,na,,no,,142.11
"Powerade, Coca Cola",beverages,no,no,,no,,na,,no,,1059.14
Bars,grocery,no,no,,no,,na,,no,,43
Tortillas,grocery,no,no,,no,,na,,no,,21.48
Honest Tea,beverages,no,no,,yes,,na,,no,,107.52
Potatoes,grocery,no,no,,no,,na,,no,,277.52
Cereal,grocery,no,no,,no,,na,,no,,293.92
Corn,grocery,no,no,,no,,na,,no,,24.66
Salt ,grocery,no,no,,no,,na,,no,,17.75
Bars,grocery,no,no,,no,,na,,no,,50.4
Bars ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,40
Pasta,grocery,no,no,,no,,na,,no,,90.63
Baked Goods,baked,no,no,,no,,na,,no,,132.48
Burritos,grocery,no,no,,yes,USDA Certified Organic,no,,no,,24.07
Burritos,grocery,no,no,,no,,no,,no,,72.21
Bread,baked,no,no,,no,,na,,no,,203.74
Bread,baked,no,no,,no,,na,,no,,29.92
"Bacon, Ham",meat,no,no,,no,,no,,no,,135.9
Cheese,dairy,no,no,,no,,no,,no,,723.63
Cinnamon Roll Dough,grocery,no,no,,no,,na,,no,,45.8
Tofu,grocery,no,no,,yes,,na,,no,,37.86
Baked Goods,baked,no,no,,no,,na,,no,,114.84
Angel Food Cake,baked,no,no,,no,,na,,no,,24.24
Cake,baked,no,no,,no,,na,,no,,305.72
Onion Rings,grocery,no,no,,no,,na,,no,,36.99
"ham, bacon, pancetta ",meat,no,no,,no,,no,,no,,236.28
Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,170.98
Sliced Peaches,grocery,no,no,,no,,na,,no,,43.38
shrimp,fish,no,no,,yes,,na,,no,,328.34
Veg Chicken Nuggets,grocery,no,no,,no,,na,,no,,43.54
tortilla,baked,no,no,,no,,na,,no,,181.76
Chocolate ,grocery,no,no,,no,,na,,no,,175
Dairy ,dairy,no,no,,no,,na,,no,,57.32
Ice Cream Sandwiches,dairy,no,no,,no,,no,,no,,60.48
Bar ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,54
"Canned Tomatoes, Canned Beans, Water Chestnuts, Vinegar",grocery,no,no,,no,,na,,no,,160.11
juice ,beverages,no,no,,no,,na,,no,,197.6
Protein,grocery,no,no,,no,,na,,no,,48
Beans,grocery,no,no,,no,,na,,no,,26.55
Flour,grocery,no,no,,no,,na,,no,,15.2
Pad Thai Chicken,poultry,no,no,,no,,no,,no,,44
Chai Concentrate,beverages,no,no,,yes,,na,,no,,39.7
produce,produce,no,no,,no,,na,,no,,234.06
Shredded Coconut,grocery,no,no,,no,,na,,no,,23.16
Tea,beverages,no,no,,no,,na,,no,,16.15
Pan Coating,grocery,no,no,,no,,na,,no,,16.97
Tazo tea,beverages,no,no,,no,,na,,no,,20.66
Cereal/Granola,grocery,no,no,,yes,,na,,no,,90.4
Snack Mix,grocery,no,no,,yes,USDA Certified Organic,na,,no,,31
Gelato,dairy,no,no,,no,,no,,no,,127.56
Pasta,grocery,no,no,,no,,na,,no,,137.04
Energy Bar ,grocery,no,no,,yes,,na,,no,,73.32
Tortillas,grocery,no,no,,no,,na,,no,,44.01
Honey Stix,grocery,no,no,,yes,USDA Certified Organic,na,,no,,13
Tomatillo,grocery,no,no,,no,,na,,no,,24.89
Trail Mix ,grocery,no,no,,no,,na,,no,,38.59
"Cheese, Egg",dairy,no,no,,no,,na,,no,,424.61
Olive Oil,grocery,no,no,,no,,na,,no,,104.62
Old Bay Seasoning,grocery,no,no,,no,,na,,no,,10.11
Cagefree Eggs,eggs,no,no,,no,,yes,"""Cage Free Eggs"" by USDA-AMS",no,,77.72
groceries,grocery,no,no,,no,,na,,no,,340.51
Pickle Chips,grocery,no,no,,no,,na,,no,,30.77
Olives,grocery,no,no,,no,,na,,no,,34.71
Rice,grocery,no,no,,no,,na,,no,,46.36
Chocolate Bar ,grocery,no,no,,no,,na,,no,,99
meat,meat,no,no,,no,,no,,no,,713.83
Meat,meat,no,no,,no,,na,,no,,237.97
Mustard,grocery,no,no,,no,,na,,no,,38.26
"Tortilla, pita",baked,no,no,,no,,na,,no,,91.94
"Naan, Chicken Masala, Chicken Samosa",grocery,no,no,,no,,no,,no,,159.78
Syrup,grocery,no,no,,no,,na,,no,,23.64
Drinks,beverages,no,no,,no,,na,,no,,95
Cheese,dairy,no,no,,no,,no,,no,,1035.49
GF Cookies,baked,no,no,,no,,no,,no,,35.34
Quinoa,grocery,no,no,,no,,na,,no,,57.75
Balsamic Vinegar,grocery,no,no,,no,,na,,no,,41.38
Produce,produce,no,no,,no,,na,,no,,471.22
Beans,grocery,no,no,,no,,na,,no,,94.16
bars,grocery,no,no,,no,,na,,no,,120
"Canola Oil, Shortening",grocery,no,no,,no,,na,,no,,193.2
Emergen-C,beverages,no,no,,no,,na,,no,,67.13
Spices,grocery,no,no,,no,,na,,no,,335.66
Ham,meat,no,no,,no,,na,,no,,1231.96
Bamboo Shoots,grocery,no,no,,no,,na,,no,,18.29
dairy,dairy,no,no,,no,,na,,no,,370.55
Groceries,grocery,no,no,,no,,na,,no,,965.79
Rice,grocery,no,no,,no,,na,,no,,142.86
Drinks,beverages,no,no,,no,,na,,no,,546
Mayonnaise,grocery,no,no,,no,,na,,no,,134.86
"cheesecake, bars",baked,no,no,,no,,no,,no,,196.93
Corn Meal,grocery,no,no,,no,,na,,no,,9.84
Canola Oil,grocery,no,no,,no,,na,,no,,20.4
Tomatos,produce,no,no,,no,,na,,no,,44.46
Apple Cider Vinegar,grocery,no,no,,no,,na,,no,,26.58
Tortillas,grocery,no,no,,no,,na,,no,,64.44
Boomchickapop Popcorn,grocery,no,no,,no,,na,,no,,60.7
Cheese,grocery,no,no,,no,,na,,no,,663.78
Drinks ,beverages,no,no,,no,,na,,no,,1240
Eggs,eggs,no,no,,no,,yes,Certified Humane by Humane Farm Animal Care,no,,77.72
Spreads,grocery,no,no,,no,,na,,no,,233.22
Liquid Eggs,eggs,no,no,,no,,na,,no,,448.88
fruit/berry,produce,no,no,,no,,na,,no,,178.66
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,37.86
Juice,beverages,no,no,,no,,na,,no,,118.21
Bread,baked,no,no,,no,,na,,no,,790.47
Mac and Cheese,grocery,no,no,,yes,USDA Certified Organic,no,,no,,65.38
"coffee, chai",beverages,no,no,,yes,,na,,no,,250.38
Produce,produce,no,no,,no,,na,,no,,9405.89
Mac and Cheese,grocery,no,no,,no,,no,,no,,38.17
Philly Cheese Steak Sandwich,grocery,no,no,,no,,na,,no,,35.85
Snacks,grocery,no,no,,no,,na,,no,,64.26
Coconut Flour,grocery,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,51.82
Energy Bar,grocery,no,no,,no,,na,,no,,8.59
Milk Products ,dairy,no,no,,no,,no,,no,,3193
Crackers,grocery,no,no,,no,,na,,no,,22.47
Soy Milk,dairy,yes,no,,yes,USDA Certified Organic,na,,no,,163
Crackers,grocery,no,no,,no,,na,,no,,20.7
water,beverages,no,no,,no,,na,,no,,26.99
Candy ,grocery,no,no,,no,,na,,no,,300.52
Energy Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,12.35
sunflower seeds,grocery,no,no,,no,,na,,no,,11.83
Granola,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,65.84
Energy Bar,grocery,no,no,,no,,na,,no,,15.28
"Shrimp, Cod",fish,no,no,,no,,na,,no,,199.6
gum,grocery,no,no,,no,,na,,no,,79.28
PopTarts,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,3.26
Energy Bar,grocery,no,no,,no,,na,,no,,21.11
Boulder Chips and Snap Pea crisps,grocery,no,no,,no,,na,,no,,80.46
Chips,grocery,no,no,,no,,na,,no,,16.24
Chocolate Pretzels,grocery,no,no,,no,,na,,no,,23.31
Popcorn,grocery,no,no,,no,,na,,no,,22.4
Pretzels,grocery,no,no,,no,,na,,no,,24.1
Fruit Spread,grocery,no,no,,yes,USDA Certified Organic,na,,no,,29.72
Protein Bar,grocery,no,no,,no,,na,,no,,9.31
Guyaki,beverages,no,yes,,yes,,na,,no,,260
Nuts,grocery,no,no,,no,,na,,no,,45.02
Tea,teacoffee,no,no,,no,,na,,no,,29.58
Snacks,grocery,no,no,,no,,na,,no,,48.84
potato products ,grocery,no,no,,no,,na,,no,,233.14
Beverages,beverages,no,no,,no,,na,,no,,2180.18
"onion rings, green pea ",grocery,no,no,,no,,na,,no,,68.57
Chocolate,grocery,no,no,,no,,na,,no,,72.21
noodles,grocery,no,no,,no,,na,,no,,21.3
"bananas, carrots, spinach, tomatoes",produce,no,no,,yes,,na,,no,,126.75
tiramisu ,dairy,no,no,,no,,na,,no,,204.6
Cheese,dairy,no,no,,no,,no,,no,,156.23
English Muffin,grocery,no,no,,no,,na,,no,,20.52
"hummus, dip",grocery,no,no,,no,,na,,no,,98.99
meat,meat,no,no,,no,,no,,no,,182.49
Brownies,grocery,no,no,,no,,na,,no,,7.2
Pizza,grocery,no,no,,no,,na,,no,,19.63
Candy,grocery,no,no,,no,,no,,yes,Contains high fructose corn syrup,218.38
Philly Cheese Steak,grocery,no,no,,no,,na,,no,,35.85
Spicy Chicken Sandwich,grocery,no,no,,no,,na,,no,,45.06
Snap Pea Crisps,grocery,no,no,,no,,na,,no,,61.76
Cookie,baked,no,no,,no,,na,,no,,11.74
"bread, pita, ",grocery,no,no,,no,,na,,no,,62.3
Shredded Pork,grocery,no,no,,no,,na,,no,,17.57
Fruit Cups,grocery,no,no,,no,,na,,no,,60.96
Pomegranate Juice,beverages,no,no,,no,,na,,no,,14.63
Orange Juice,beverages,no,no,,no,,na,,no,,26.03
Apple Chips,grocery,no,no,,no,,na,,no,,9.26
grocery ,grocery,no,no,,no,,na,,no,,276.04
Brownie Brittle,grocery,no,no,,no,,na,,no,,7.78
Chips,grocery,no,no,,no,,na,,no,,6.12
Grocery,grocery,no,no,,no,,no,,yes,Contains Partially Hydrogenated Oil (trans fats),331.54
Sunny Fruit Slices,grocery,no,no,,yes,USDA Certified Organic,na,,no,,81.71
Crackers,grocery,no,no,,no,,na,,no,,67.06
Snack Mix,grocery,no,no,,no,,na,,no,,28.86
"Choc, PB, and Yogurt covered Pretzels",grocery,no,no,,no,,na,,no,,160.8
Energy Bars,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,37.05
Chips,grocery,no,no,,no,,na,,no,,40.6
grocery,grocery,no,no,,no,,na,,no,,173.51
Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,na,,no,,24.76
Hummus Chips,grocery,no,no,,no,,na,,no,,4.6
Yogurt,dairy,no,no,,no,,no,,no,,117.85
Meat Snacks,meat,no,no,,no,,no,,no,,71.14
Bar,grocery,no,no,,no,,na,,no,,7.27
Nutella & Go!,grocery,no,no,,no,,na,,no,,13.19
Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,na,,no,,20.53
Jerky,grocery,no,no,,no,,na,,no,,112.71
Goldfish,grocery,no,no,,no,,na,,no,,21.69
Soy Products,grocery,no,no,,no,,na,,no,,25.44
Peanuts,grocery,no,no,,no,,na,,no,,16.32
Pasta,grocery,no,no,,yes,USDA Certified Organic,na,,no,,161.84
Microwave meals,grocery,no,no,,yes,,na,,no,,81.49
PopTarts,grocery,no,no,,no,,na,,no,,37.62
Chips,grocery,no,no,,no,,na,,no,,22.8
